name,category,description,price,imagename
Bentwood Chair,chair,"100% cotton, imported, light-weight and durable reclining chair in a serene mocha walnut and beige color combination.",$81.69 ,chair1.jpg
Wooden Lounge Chair,chair,Mid-century lounge chair with dark walnut colored finishing and button tufted piping on the removable cushions.,$127.03 ,chair2.jpg
Klorey Accent Chair,chair,"Mid-century accent chair in rich, multi-tonal gray color with high-resiliency foam cushions upholstered in supple polyester. Supported by a sturdy corner blocked frame with exposed faux wood feet",$148.08 ,chair3.jpg
Tufted Linen Fabric Sofa,couch,Modern Mid-century sofa with 2 bolster side pillows and 2 square pillows in soft hand picked linen fabric and tufted button design on the cushions in black color.,$229.99 ,couch1.jpg
Comfortable Linen Fabric Sofa,couch,"Classic, traditional style 3 seater linen fabric sofa with hand picked linen fabric and loose back cushions in the same fabric in simple, plain and royal white color. ",$249.99 ,couch2.jpg
"Linen Sectional Sofa, L-Shape Couch",couch,Grey colored classic linen sectional sofa with reversible chaise and a tv remote organizer pocket in soft velvet fabric on a hardwood frame with comfortable seat and back cushions filled with high density foam,$279.99 ,couch3.jpg
Rectangular Coffee Table,table,"Modern functional rectangular coffee table with second lower shelf, made of durable MDF frame with second lower shelve for more storage.",$39.99 ,coffeetable1.jpg
Coffee Table,table,Classic black multi-shelved coffee table sutable for placement in living room or office space and manufactured from composite wood and PVC tubes.,$51.68 ,coffeetable2.jpg
Rectangular Wood Top Coffee Tables,table,Modern two tier coffee/tea table with ample storage room comes in royal chestnut color with sleek finish and has a touch of elegance.,$68.99 ,coffeetable3.jpg
"24"" LED TV",tv,"The E246BV-SR delivers the stunning lights, darks, and rich colors of 720P resolution all on a 24-inch LED HDTV. HDMI input delivers the unbeatable combination of high-definition video and clear audio. A USB port comes in handy when you want to flip through all of your stored pictures and tune into your stored music.",$99.99 ,TV1.jpg
"32"" 720p HDTV",tv,"This TV features advanced LED back-lit technology for a crystal clear picture with vibrant colors and sharp contrasts. HDMI connectivity allows you to connect your favorite digital device, including streaming devices like Roku or Fire TV. Comes with a stand (may vary from those pictured) and a remote control.",$118.00 ,TV2.jpg
"32"" 720p HD Smart LED TV",tv,"Toshiba HD Smart TV is a new generation of television featuring the Fire TV experience built-in and including a Voice Remote with Alexa. The Voice Remote with Alexa lets you easily launch apps, search for titles, play music, switch inputs, control smart home devices, and more, using just your voice. Smart but simple in every way.",$149.99 ,TV3.jpg
Freestanding Office Cabinet with Drawers,cabinet,This 4 drawer cabinet has each piece of board coated with varnish on both sides to give a glossy and smooth surface which is moisture-proof and very suitable for use in bathrooms or kitchens.,$69.99 ,storagecabinet1.jpg
Floor Cabinet with Adjustable Shelf and Drawers,cabinet,This cabinet has a combination of 4 drawers and 1 cupboard to meet different needs of storage and is coated with varnish making the surface glossy and smooth.,$89.99 ,storagecabinet2.jpg
Free Standing Plastic Tall Storage Cabinet with 4 Adjustable Shelves,cabinet,This is a sturdy resin construction that is both easy to maintain and rust-free with 4 adjustable storage shelves with flip over removable bins.,$119.99 ,storagecabinet3.jpg
